domainname,Registrant_pri_email,Registrant_adminemail,Registrant_billingemail,Registrant_techemail
qfischool.sch.qa,juha.repo@qfischool.com,aki.halko@qfischool.com,dummy@domains.qa,sayed.mahmoud@qfischool.com
qbs.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
qatartechnical.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
qatar-prep.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
qatarpg.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
qatarpb.sch.qa,qatar-pb@edu.gov.qa,dummy@domains.qa,dummy@domains.qa,m.braima0605@education.com
qasidra.sch.qa,itsc@qf.org.qa,dummy@domains.qa,dummy@domains.qa,itsc@qf.org.qa
psisd.sch.qa,pearlingseason@education.qa,pearlingseason@education.qa,pearlingseason@education.qa,hany.saber@psisd.com.qa
pps.sch.qa,falih@fnffoundation.com,ruknudin@gmail.com,ruknudin@gmail.com,h-a-kutty@fnffoundation.com
pearlschool.sch.qa,pearlintschool2013@gmail.com,dummy@domains.qa,dummy@domains.qa,diskoverx@gmail.com
oxfordenglishschool.sch.qa,info@oxfordenglishschool1.com,info@oxfordenglishschool1.com,info@oxfordenglishschool1.com,info@oxfordenglishschool1.com
othman.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
omarprimary2.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
omarprep.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
omar1.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
omama.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
obzschool.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
obks.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
oba.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
obaidaschool.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
nosaibaschool.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
newtonschools.sch.qa,jabral@gmail.com,abdullahhm@newtoninternationalschool.edu.qa,haniffr@newtoninternationalschool.edu.qa,abdullahhm@newtoninternationalschool.edu.qa
nasseralattiya.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
mozaprimary.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
moza-prep.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
mosaab.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
mesaiyed-g.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
mesaiyed-boys.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
mbinjassim.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
mbaw.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
maymouna.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
maryam.sch.qa,maryam@sec.gov.qa,maryam@sec.gov.qa,dummy@domains.qa,domain@qatarprovider.com
maryambintomran.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
malekbinanas.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
lsq.sch.qa,rabihfaysal@hotmail.com,rabihfaysal@hotmail.com,rabihfaysal@hotmail.com,rabihfaysal@hotmail.com
littlevillage.sch.qa,mrebhi@hotmail.com,mrebhi@hotmail.com,mrebhi@hotmail.com,mrebhi@hotmail.com
khawla.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
khalifasb.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
khalifa-m.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
khadeeja.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
kbwschool.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
kba.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
kamschool.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
jbhschool.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
jawaan.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
islqatar.sch.qa,domains@islqatar.org,domains@islqatar.org,domains@islqatar.org,domains@islqatar.org
ishschool.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
iqraenglishschool.sch.qa,Director@iqraenglishschool.com,Director@iqraenglishschool.com,Director@iqraenglishschool.com,ssadikh@iqratrading.com
ikschool.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
ibntaymeya.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
ibnseenaschool.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
hetteen.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
hba.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
hamza.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
halimaschool.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
hajarschool.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
hafsa.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
gulfenglishschool.sch.qa,hassan.alzayat@gulfenglishschool.com,krommedia@gmail.com,krommedia@gmail.com,krommedia@gmail.com
greenpark.sch.qa,md@edisonqatar.com,woaoud@greenparkschoolqatar.com,moustafa_khourshed@yahoo.com,ralphonse@greenparkschoolqatar.com
ghowairiyapps.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
gharnata.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
fbws.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
fatemaalzahraa.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
edison.sch.qa,edison.dahlalhamam2@edu.gov.qa,edison.dahlalhamam2@edu.gov.qa,edison.dahlalhamam2@edu.gov.qa,edison.dahlalhamam2@edu.gov.qa
edison-schoolappsqatar.sch.qa,edison.dahlalhamam2@edu.gov.qa,edison.dahlalhamam2@edu.gov.qa,edison.dahlalhamam2@edu.gov.qa,edison.dahlalhamam2@edu.gov.qa
edisonqatar.sch.qa,edison.dahlalhamam2@edu.gov.qa,edison.dahlalhamam2@edu.gov.qa,edison.dahlalhamam2@edu.gov.qa,edison.dahlalhamam2@edu.gov.qa
dukhan-g.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
dukhanboys.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
dpsmis.sch.qa,yasirnainar@hotmail.com,yasirnainar@hotmail.com,yasirnainar@hotmail.com,info@dpsmisdoha.com
doha-sec.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
dohaprep.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
dohabritishschool.sch.qa,natra@artanholding.com,suba.das@artanholding.com,suba.das@artanholding.com,suba.das@artanholding.com
dohaacademy.sch.qa,huthaifa.alnuaimi@dohaacademy.net,huthaifa.alnuaimi@dohaacademy.net,muhammad.usman@dohaacademy.net,huthaifa.alnuaimi@dohaacademy.net
dis.sch.qa,dohaintlschool@gmail.com,dohaintlschool@gmail.com,dohaintlschool@gmail.com,dohaintlschool@gmail.com
dikg.sch.qa,huthaifa.alnuaimi@dohaacademy.net,huthaifa.alnuaimi@dohaacademy.net,muhammad.usman@dohaacademy.net,huthaifa.alnuaimi@dohaacademy.net
dhail-m.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
dbs.sch.qa,suba.das@artanholding.com,suba.das@artanholding.com,dummy@domains.qa,janaka@dohabritishschool.com
brooq.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
binturky.sch.qa,a.binturky@sec.gov.qa,a.binturky@sec.gov.qa,a.binturky@sec.gov.qa,olakatmeh@hotmail.com
binturkyschool.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
bilal.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
barzan.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
aysha-school.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
atika.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
athaayen.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
asseliyasecg.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
asseliya-sb.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
asmaa.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
ashaqab.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
asd.sch.qa,itsupport@asd.edu.qa,itsupport@asd.edu.qa,itsupport@asd.edu.qa,itsupport@asd.edu.qa
asdoha.sch.qa,itsupport@asd.edu.qa,itsupport@asd.edu.qa,itsupport@asd.edu.qa,itsupport@asd.edu.qa
arwa.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
annahdha.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
amnasecondaryqa.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
amnaprepschool.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
amnamahmoud.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
american.sch.qa,itsupport@asd.edu.qa,itsupport@asd.edu.qa,itsupport@asd.edu.qa,itsupport@asd.edu.qa
americanacademy.sch.qa,info@americanacademy.sch.qa,info@americanacademy.sch.qa,info@americanacademy.sch.qa,americanacademyschool@gmail.com
alzubara.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alyarmook.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alwusail.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alwukairboys.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alwokairpg.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alwakrasg.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alwakraprep.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alwafa.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
althukheera.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
althukheera-g.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
altaawon.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alshorooq.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alshaymaa.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alshamal-sb.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alshamalpsg.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alshamalpg.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alshamal-pb.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alshamalm.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alshahaniyagirls.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alsalam.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alrrefaa.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alresala.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alrazi.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alrashad.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alqods.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alqadeseya.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alobaib.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
almothanna.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
almontazah.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
almarkhyia.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
almana.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
almanar.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
almahadaddeeni.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alkourprepandsec.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alkhour-m.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alkhorprimary.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alkhawarizmi.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alkharsaa-g.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alkharsaab.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alkhansaa.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alkawthar.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alkaraana-g.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alkaraanaboys.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alkaabanpg.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alkaaban-pb.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
aljmailiya-g.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
aljmailiyaboys.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alikhlas.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alibinabdulla.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alhuda.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alhedaya.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
algashamiya.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alforqanschools.sch.qa,alfurqan.sec@education.qa,mh_khamis@hotmail.com,alfurqan.sec@education.qa,mh_khamis@hotmail.com
alfalah-school.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
al-esraa.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
aleiman.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
albayansec.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
albayan.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
albayanprep.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
albayan2.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
albayan1.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alarqamacademy.sch.qa,abcacho@alarqamacademy.edu.qa,ola.hamdi@alarqamacademy.edu.qa,ola.hamdi@alarqamacademy.edu.qa,r.atteya@alarqamacademy.edu.qa
alaqsa.sch.qa,hostmaster@edu.gov.qa,m.samak@edu.gov.qa,itsecretary@edu.gov.qa,t.alnubani@edu.gov.qa
alandalus.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
alahnaf.sch.qa,hostmaster@edu.gov.qa,hostmaster@edu.gov.qa,dummy@domains.qa,hostmaster@edu.gov.qa
akis.sch.qa,itsnteam@akis.sch.qa,itsnteam@akis.sch.qa,hilda.saldanha2@akbs.tv,itsnteam@akis.sch.qa
